    batch 270/500, loss=0.1053
    batch 280/500, loss=0.1334
    batch 290/500, loss=0.1374
    batch 300/500, loss=0.1541
    batch 310/500, loss=0.0996
    batch 320/500, loss=0.0820
    batch 330/500, loss=0.0667
    batch 340/500, loss=0.1302
    batch 350/500, loss=0.1064
    batch 360/500, loss=0.3459
    batch 370/500, loss=0.0935
    batch 380/500, loss=0.1442
    batch 390/500, loss=0.0613
    batch 400/500, loss=0.0696
    batch 410/500, loss=0.0998
    batch 420/500, loss=0.1362
    batch 430/500, loss=0.1131
    batch 440/500, loss=0.1196
    batch 450/500, loss=0.3796
    batch 460/500, loss=0.0737
    batch 470/500, loss=0.1187
    batch 480/500, loss=0.0709
    batch 490/500, loss=0.0551
    batch 500/500, loss=0.1293
Epoch 83/150 — loss=0.1118, lr=2.42e-03, time=366.8s
    batch 10/500, loss=0.0765
    batch 20/500, loss=0.0880
    batch 30/500, loss=0.1057
    batch 40/500, loss=0.0712
    batch 50/500, loss=0.1445
    batch 60/500, loss=0.1749
    batch 70/500, loss=0.1599
    batch 80/500, loss=0.1637
    batch 90/500, loss=0.1109
    batch 100/500, loss=0.1765
    batch 110/500, loss=0.0927
    batch 120/500, loss=0.1622
    batch 130/500, loss=0.1132
    batch 140/500, loss=0.2047
    batch 150/500, loss=0.0873
    batch 160/500, loss=0.1153
    batch 170/500, loss=0.0720
    batch 180/500, loss=0.0827
    batch 190/500, loss=0.0931
    batch 200/500, loss=0.0846
    batch 210/500, loss=0.0912
    batch 220/500, loss=0.1197
    batch 230/500, loss=0.1578
    batch 240/500, loss=0.0937
    batch 250/500, loss=0.1238
    batch 260/500, loss=0.0674
    batch 270/500, loss=0.0733
    batch 280/500, loss=0.0775
    batch 290/500, loss=0.1146
    batch 300/500, loss=0.0764
    batch 310/500, loss=0.1025
    batch 320/500, loss=0.0751
    batch 330/500, loss=0.0921
    batch 340/500, loss=0.0646
    batch 350/500, loss=0.1872
    batch 360/500, loss=0.0638
    batch 370/500, loss=0.0742
    batch 380/500, loss=0.1385
    batch 390/500, loss=0.1230
    batch 400/500, loss=0.1177
    batch 410/500, loss=0.0926
    batch 420/500, loss=0.1262
    batch 430/500, loss=0.0948
    batch 440/500, loss=0.0493
    batch 450/500, loss=0.1227
    batch 460/500, loss=0.0935
    batch 470/500, loss=0.1005
    batch 480/500, loss=0.1366
    batch 490/500, loss=0.0876
    batch 500/500, loss=0.4601
Epoch 84/150 — loss=0.1095, lr=2.39e-03, time=320.8s
    batch 10/500, loss=0.1421
    batch 20/500, loss=0.0843
    batch 30/500, loss=0.0882
    batch 40/500, loss=0.1046
    batch 50/500, loss=0.0814
    batch 60/500, loss=0.0705
    batch 70/500, loss=0.1077
    batch 80/500, loss=0.0820
    batch 90/500, loss=0.0756
    batch 100/500, loss=0.1253
    batch 110/500, loss=0.1178
    batch 120/500, loss=0.1676
    batch 130/500, loss=0.0986
    batch 140/500, loss=0.0799
    batch 150/500, loss=0.0746
    batch 160/500, loss=0.1057
    batch 170/500, loss=0.1025
    batch 180/500, loss=0.0961
    batch 190/500, loss=0.1468
    batch 200/500, loss=0.1004
    batch 210/500, loss=0.1612
    batch 220/500, loss=0.1122
    batch 230/500, loss=0.1036
    batch 240/500, loss=0.0596
    batch 250/500, loss=0.0881
    batch 260/500, loss=0.1281
    batch 270/500, loss=0.0885
    batch 280/500, loss=0.1545
    batch 290/500, loss=0.1574
    batch 300/500, loss=0.0952
    batch 310/500, loss=0.1229
    batch 320/500, loss=0.0860
    batch 330/500, loss=0.1427
    batch 340/500, loss=0.1223
    batch 350/500, loss=0.0630
    batch 360/500, loss=0.1444
    batch 370/500, loss=0.0945
    batch 380/500, loss=0.1712
    batch 390/500, loss=0.6477
    batch 400/500, loss=0.1289
    batch 410/500, loss=0.1138
